一日目
チラシ,ちらし,flyer,街で賃貸アパートのチラシを見つけた,Found a flyer for rental apartments in the town
賃貸アパート,ちんたいあぱーと,rental apartment,新しい賃貸アパートに引っ越す,Move to a new rental apartment
家賃,やちん,rent,毎月の家賃を支払う,Pay monthly rent
管理費,かんりひ,maintenance fee,管理費として10000円かかります,There is a maintenance fee of 10,000 yen
無料,むりょう,free,このサービスは無料です,This service is free
徒歩,とほ,by foot,駅まで徒歩5分です,It's a 5-minute walk to the station
建て,たて,built,新しく建てられたアパート,Newly built apartment
南向け,みなみむけ,south-facing,南向けの部屋は日当たりが良い,South-facing rooms get good sunlight
築〜年,ちく〜ねん,built-year,築10年のマンション,A 10-year-old condominium
自転車置き場,じてんしゃおきば,bicycle parking,アパートに自転車置き場があります,The apartment has a bicycle parking area
マンション,まんしょん,mansion,都心に立つ高層マンション,A high-rise mansion in the city center
敷金,しききん,security deposit,敷金として2ヶ月分が必要です,A security deposit of two months is required
礼金,れいきん,key money,礼金なしの物件を探しています,Looking for a property without key money
1LDK,いちえるでぃーけー,1LDK (1 Living Dining Kitchen),1LDKのアパートに住んでいます,Living in a 1LDK apartment
広々,ひろびろ,spacious,広々としたリビングルーム,Spacious living room
眺め,ながめ,view,部屋からの眺めが素晴らしい,The view from the room is amazing
日当たり,ひあたり,sunlight exposure,南向きで日当たりが良い,Good sunlight exposure with south-facing
人通り,ひとどおり,pedestrian traffic,商店街の人通りが賑やかだ,The pedestrian traffic in the shopping street is lively
一軒家,いっけんや,detached house,一軒家に住みたい,I want to live in a detached house
一戸建て,いっこだて,single-family house,一戸建ての家を購入する,Purchase a single-family house
物干し,ものほし,clothesline,ベランダに物干しがある,There is a clothesline on the balcony
風呂場,ふろば,bathroom,風呂場には浴槽とシャワーがあります,The bathroom has a bathtub and a shower
洗面所,せんめんじょ,washroom,洗面所には洗面台と鏡が備えられています,The washroom is equipped with a washbasin and a mirror
一人暮らし,ひとりぐらし,living alone,一人暮らしを始める,Start living alone
近所付き合い,きんじょづきあい,neighborly relations,近所付き合いを大切にする,Value neighborly relations
付き合う,つきあう,to associate,近所の人たちと良い関係を付き合う,Associate with neighbors and maintain good relations
引っ越し,ひっこし,moving,引っ越しの日が決まりました,Moving day has been decided
荷造り,にづくり,packing,引っ越しの荷造りを進める,Continue packing for the move
回覧板,かいらんばん,circular notice,アパートの回覧板にお知らせが掲示されている,The circular notice board in the apartment has announcements posted
辺り,あたり,area,この辺りにはスーパーがあります,There is a supermarket around this area
付近,ふきん,vicinity,住宅地の付近に公園があります,There is a park in the vicinity of the residential area
真ん前,まんまえ,right in front,駅は真ん前にあります,The station is right in front
真後ろ,まうしろ,right behind,家はバス停の真後ろにあります,The house is right behind the bus stop
真ん中,まんなか,in the middle,部屋の真ん中にテーブルを置く,Put the table in the middle of the room
斜め前,ななめまえ,diagonally in front,斜め前に銀行があります,There is a bank diagonally in front

二日目
買い換える,かいかえる,to replace,古い家電製品を買い換える,Replace old household appliances
家電製品,かでんせいひん,home appliances,最新の家電製品が発売された,The latest home appliances have been released
省エス,しょうえす,energy-saving,省エス製品を使って電気代を節約する,Use energy-saving products to save on electricity costs
電気代,でんきだい,electricity bill,電気代が高くて困っている,I'm struggling with a high electricity bill
節約する,せつやくする,to save,生活費を節約する,Save on living expenses
たまる,たまる,to accumulate,ポイントがたまる,Points accumulate
リサイクル,りさいくる,recycle,不用品をリサイクルに出す,Take unused items for recycling
不用品,ふようひん,unused items,不用品を整理する,Organize unused items
処分する,しょぶんする,to dispose of,古い家具を処分する,Dispose of old furniture
分別する,ぶんべつする,to separate,ごみを分別して捨てる,Separate and dispose of trash
燃えるごみ,もえるごみ,burnable waste,燃えるごみは特定の日に出す,Must dispose of burnable waste on specific days
可燃ごみ,かねんごみ,combustible waste,可燃ごみは火をつけても燃える,Waste that can burn even if ignited
燃やせるごみ,もやせるごみ,burnable waste,燃やせるごみをごみ袋に詰める,Pack burnable waste in garbage bags
燃えないごみ,もえないごみ,non-burnable waste,燃えないごみは別の袋に入れる,Non-burnable waste goes in a separate bag
不燃ごみ,ふねんごみ,non-burnable waste,不燃ごみは粗大ごみとして出す,Dispose of non-burnable waste as bulky waste
燃やせないごみ,もやせないごみ,non-burnable waste,燃やせないごみは特定の収集日に出す,Dispose of non-burnable waste on specific collection days
生ごみ,なまごみ,kitchen waste,生ごみは家庭菜園に使える,Kitchen waste can be used for home gardening
粗大ごみ,そだいごみ,bulky waste,粗大ごみは市の指定場所に出す,Dispose of bulky waste at the designated city location
資源ごみ,しげんごみ,recyclable waste,資源ごみはきちんと分別して捨てる,Dispose of recyclable waste by separating it properly
