一日目
紐が切れる,ひもがきれる,the string breaks,紐が切れてしまった,the string broke
紐は切る,ひもはきる,cut the string,紐は切ってしまった,the string was cut
電池が切れる,でんちがきれる,the battery runs out,電池が切れてしまった,the battery ran out
タバコが切れる,たばこがきれる,the cigarette runs out,タバコが切れてしまった,the cigarette ran out
賞味期限が切れる,しょうみきげんがきれる,the expiration date expires,賞味期限が切れてしまった,the expiration date expired
シビレが切れる,しびれがきれる,the numbness stops,長時間座っていたらシビレが切れる,if you sit for a long time the numbness will stop
電源を切る,でんげんをきる,turn off the power,コンピューターの電源を切る,turn off the computer
電源が切れる,でんげんがきれる,the power goes out,電源が切れてしまった,the power went out
野菜に水気を切る,やさいにみずけをきる,drain the vegetables,野菜に水気を切ってください,please drain the vegetables
100メートル競走で10秒を切る,ひゃくめーとるきょうそうでじゅっぷんをきる,to run the 100-meter race in under 10 seconds,彼は100メートル競走で10秒を切る速さだ,he has the speed to run the 100-meter race in under 10 seconds
ハンドルを右に切る,はんどるをみぎにきる,to turn the steering wheel to the right,車を曲がるときはハンドルを右に切る,making a right turn involves turning the steering wheel to the right
カードをよく切る,かーどをよくきる,to shuffle cards well,カードをよく切ってから配りましょう,shuffle the cards well before dealing
スタートを切る,すたーとをきる,to start,大会のスタートを切る,to start the tournament
キレる,きれる,get angry,彼はすぐにキレる,he gets angry easily
シミがつく,しみがつく,get stained,服にシミがついた,the clothes got stained
シミをつける,しみをつける,stain,服にシミをつけてしまった,I stained my clothes
窓ガラスに水滴がつく,まどがらすにすいてきがつく,condensation forms on the window glass,窓ガラスに水滴がついた,the window glass got condensation
利子がつく,りしがつく,interest is added,利子がついたお金を返す,pay back the money with interest
身に付く,みにつく,learn,彼はすぐに英語を身に付けた,he learned English quickly
身につける,みにつける,learn,彼はすぐに英語を身につけた,he learned English quickly
力がつく,ちからがつく,get stronger,毎日運動をすると力がつく,if you exercise every day you will get stronger
力をつける,ちからをつける,get stronger,毎日運動をすると力をつける,if you exercise every day you will get stronger
差がつく,さがつく,make a difference,差がつくように頑張る,work hard to make a difference
差をつける,さをつける,make a difference,差をつけて勝つ,win by a large margin
見当がつく,けんとうがつく,guess,彼の住所は見当がつかない,his address is unknown
見当をつける,けんとうをつける,guess,彼の住所を見当をつける,guess his address
目処がつく,めどがつく,to see prospects,プロジェクトの進捗に目処がついた,there are prospects for the progress of the project
目処をつける,めどをつける,to see prospects,プロジェクトの進捗に目処をつける,there are prospects for the progress of the project
決心がつく,けっしんがつく,make up one's mind,彼はやっと決心がついた,he finally made up his mind
決心する,けっしんする,make up one's mind,彼はやっと決心した,he finally made up his mind
服に匂いがつく,ふくににおいがつく,get a smell on clothes,服に匂いがついた,the clothes got a smell
折り目をつける,おりめをつける,make a crease,シャツの袖に折り目をつける,make a crease on the shirt sleeve
折り目がつく,おりめがつく,make a crease,シャツの袖に折り目がついた,make a crease on the shirt sleeve
味をつける,あじをつける,season,味をつけてから煮る,season and then boil
味がつく,あじがつく,season,味がついた料理を出す,serve seasoned food
ボールが当たる,ぼーるがあたる,the ball hits,ボールが当たって痛い,the ball hit and it hurts
ボールを当てる,ぼーるをあてる,hit the ball,ボールを当ててみよう,let's try to hit the ball
答えが当たる,こたえがあたる,the answer is correct,答えが当たった,the answer was correct
答えを当てる,こたえをあてる,to guess the answer,問題の答えを当てるのは難しいことです,guessing the answer to the question is a difficult task
宝くじが当たる,たからくじがあたる,win the lottery,宝くじが当たったら、何をしますか,what will you do if you win the lottery?
日が当たる,ひがあたる,to be in the sun,この部屋は日が当たって明るい,this room is bright because the sun is shining into it
日を当てる,ひをあてる,to guess the date,友達の誕生日を日を当てるのは難しい,I find it challenging to guess the exact date of my friend's birthday
額に手を当てる,がくにてをあてる,put your hand on your forehead,額に手を当てて、熱を測る,put your hand on your forehead and take your temperature

二日目
迷惑がかかる,めいわくがかかる,to be a burden,遅れてきたことで他の人に迷惑がかかる,Being late becomes a burden to others.
迷惑をかける,めいわくをかける,to cause trouble,友達に迷惑をかけないように気をつける,I try not to cause trouble for my friends.
