一日目
思いやりがある,おもいやりがある,considerate,思いやりがある人,considerate person
若々しい,わかわかしい,youthful,若々しい人,youthful person
生き生きとした,いきいきとした,lively,生き生きとした人,lively person
朗らか,ほがらか,cheerful,朗らかな人,cheerful person
爽やか,さわやか,refreshing,爽やかな人,refreshing person
人懐っこい,ひとなつっこい,friendly,人懐っこい人,friendly person
無邪気,むじゃき,innocent,無邪気な人,innocent person
マナーがいい,まなーがいい,well-mannered,マナーがいい人,well-mannered person
センスがいい,せんすがいい,have good taste,センスがいい人,person with good taste
要領がいい,ようりょうがいい,efficient,要領がいい人,efficient person
穏やか,おだやか,mild,穏やかな人,mild person
おとなしい,おとなしい,quiet,おとなしい人,quiet person
落ち着いてる,おちついてる,calm,落ち着いてる人,calm person
頼もしい,たのもしい,reliable,頼もしい人,reliable person
大雑把,おおざっぱ,rough,大雑把な人,rough person
いい加減,いいかげん,irresponsible,いい加減な人,irresponsible person
だらしない,だらしない,sloppy,だらしない人,sloppy person
不潔,ふけつ,unclean,不潔な人,unclean person
厚かましい,あつかましい,impudent,厚かましい人,impudent person
図々しい,ずうずうしい,impudent,図々しい人,impudent person
欲張り,よくばり,greedy,欲張りな人,greedy person
強引,ごういん,overbearing,強引な人,overbearing person
乱暴,らんぼう,rough,乱暴な人,rough person
生意気,なまいき,impertinent,生意気な人,impertinent person
わがまま,わがまま,selfish,わがままな人,selfish person
プライドが高い,ぷらいどがたかい,have a high pride,プライドが高い人,person with a high pride
そそっかしい,そそっかしい,absent-minded,そそっかしい人,absent-minded person
呑気,のんき,optimistic,呑気な人,optimistic person
短期,たんき,short-termpered,短期の人,short-termpered person
気が短い,きがみじかい,short-tempered,気が短い人,short-tempered person
気が小さい,きがちいさい,be timid,気が小さい人,timid person
あわれ,あわれ,miserable,あわれな人,miserable person
くどい,くどい,verbose,くどい人,verbose person
卑怯,ひきょう,cowardly,卑怯な人,cowardly person
ずるい,ずるい,sly,ずるい人,sly person
ダサい,ださい,uncool,ダサい人,uncool person
上品,じょうひん,elegant,上品な人,elegant person
品がある,ひんがある,refined,品がある人,refined person
品がいい,ひんがいい,refined,品がいい人,refined person
下品,げひん,vulgar,下品な人,vulgar person
品がない,ひんがない,vulgar,品がない人,vulgar person
かっこいい,かっこいい,cool,かっこいい人,cool person
かっこ悪い,かっこわるい,uncool,かっこ悪い人,uncool person
気が強い,きがつよい,aggressive,気が強い人,aggressive person
気が弱い,きがよわい,timid,気が弱い人,timid person
器用,きよう,skillful,器用な人,skillful person
不器用,ぶきよう,clumsy,不器用な人,clumsy person
真面目,まじめ,hardworking,真面目な人,hardworking person
不真面目,ふまじめ,irresponsible,不真面目な人,irresponsible person

二日目
豊か,ゆたか,rich,豊かな国,rich country
快適,かいてき,comfortable,快適な暮らし,comfortable life
楽,らく,easy,楽な方法,easy way
派手,はで,flashy,派手なシャツ,flashy shirt
粗末,そまつ,plain,粗末な食事,plain food
惨め,みじめ,miserable,惨めな暮らし,miserable life
厄介,やっかい,troublesome,厄介な問題,troublesome problem
曖昧,あいまい,vague,曖昧な返事,vague reply
ありふれた,ありふれた,ordinary,ありふれた話,ordinary story
慌ただしい,あわただしい,busy,慌ただしい一日,busy day
騒がしい,さわがしい,noisy,騒がしい通り,noisy street
騒々しい,そうぞうしい,noisy,騒々しい声,noisy voice
やかましい,やかましい,loud,彼はファッションにやかましい,he has loud views on fashion
めでたい,めでたい,joyous,めでたい日,joyous day
等しい,ひとしい,equal,長さが等しい,equal length
醜い,みにくい,ugly,醜い争い,ugly dispute
荒っぽい,あらっぽい,rough,荒っぽい言葉,rough language
空っぽ,からっぽ,empty,空っぽの財布,empty wallet
真っ黒,まっくろ,pitch black,焼きすぎて魚が真っ黒になる,fish is buring on the grill
真っ青,まっさお,deep blue,顔が真っ青になる,face turns pale
真っ赤,まっか,deep red,顔が真っ赤になる,face turns red
真っ白,まっしろ,pure white,頭の中が真っ白になる,be totally lost

三日目
睨む,にらむ,to glare at,彼は私を睨んだ,he glared at me
覗く,のぞく,to peek,部屋の中を覗く,peek into the room
咥える,くわえる,to hold in one's mouth,煙草を咥える,hold a cigarette in one's mouth
かじる,かじる,to bite,りんごをかじる,bite an apple
囁く,ささやく,to whisper,耳元で囁く,whisper in one's ear
頷く,うなずく,to nod,彼は頷いた,he nodded
担ぐ,かつぐ,to carry on one's shoulder,荷物を担ぐ,carry a load on one's shoulder
抱える,かかえる,to hold in one's arms,子供を抱える,hold a child in one's arms
ふらさげる,ふらさげる,to hang,カゴをふらさげる,hold a basket off from one's arm
つく,つく,to place,肘をつく,rest one's elbow on the table
触る,さわる,to touch,犬に触る,touch a dog
かく,かく,to scratch,頭をかく,scratch one's head
つっこむ,つっこむ,to thrust,手をポケットにつっこむ,thrust one's hands into one's pocket
挟む,はさむ,to pinch,パンにハムを挟む,put ham in a sandwich
くっつける,くっつける,to stick,ノリで紙をくっつける,stick paper with glue
蛇口,じゃぐち,faucet,蛇口をひねる,turn on the faucet
ひねる,ひねる,to twist,蛇口をひねる,turn on the faucet
曲げる,まげる,to bend,膝を曲げる,bend one's knees
またぐ,またぐ,to step over,溝をまたぐ,step over a ditch
つまずく,つまずく,to stumble,石につまずく,stumble over a stone
滑る,すべる,to slip,雪道で滑る,slip on a snowy road
じゃがむ,じゃがむ,to sit down,道路でじゃがむ,sit down on the road
ねじる,ねじる,to twist,体をねじる,twist one's body
持たれる,もたれる,to lean against,壁にもたれる,lean against the wall
ぶつかる,ぶつかる,to bump into,壁にぶつかる,bump into a wall
