一日目
老人ホーム,ろうじんほーむ,nursing home,老人ホームのホームヘルパー,a nursing home helper
ホームヘルパー,ほーむへるぱー,nursing home helper,老人ホームのホームヘルパー,a nursing home helper
語学学校,ごがくがっこう,language school,語学学校の講師,a language school teacher
講師,こうし,teacher,語学学校の講師,a language school teacher
事務員,じむいん,office worker,会社の事務員,a clerk
関係,かんけい,relationship,コンピューター関係の仕事,IT related job
オーナー,おーなー,owner,レストランのオーナー,a restaurant owner
従業員,じゅうぎょういん,employee,ホテルの従業員,a hotel worker
フリーター,ふりーたー,freeter,彼は今フリーターで、アルバイトをしている,he is a freelancer and works part-time
就職する,しゅうしょくする,to get a job,彼は就職するために、日本語を勉強している,he is studying japanese to get a job
就職活動,しゅうしょくかつどう,job hunting,彼は就職活動中で、履歴書や面接の準備をしてる,he is job hunting and preparing his resume and interview
求人情報,きゅうじんじょうほう,job information,求人情報を探す,look for job information
履歴書,りれきしょ,resume,履歴書を書く,write a resume
年齢制限,ねんれいせいげん,age limit,年齢制限がある,have an age limit
問わない,とわない,to not ask,経験を問わない,no previous experience required
雇う,やとう,to hire,彼は会社に雇われている,he is employed by a company
採用する,さいようする,to hire,彼は会社に採用された,he was hired by a company
人手,ひとで,manpower,人手が不足している,be short of manpower
不足する,ふそくする,to be insufficient,人手が不足している,be short of manpower
正社員,せいしゃいん,full-time employee,正社員を募集する,recruit full-time employees
募集する,ぼしゅうする,to recruit,正社員を募集する,recruit full-time employees
派遣社員,はけんしゃいん,temporary employee,派遣社員に登録する,register as a temporary employee
登録する,とうろくする,to register,派遣社員に登録する,register as a temporary employee
問い合わせる,といあわせる,to inquire,会社に問い合わせる,ask the company about
気軽に,きがるに,feel free,気軽にたずねる,feel free to ask questions
面接,めんせつ,interview,面接で緊張する,get nervous at an interview
緊張する,きんちょうする,to be nervous,面接で緊張する,get nervous at an interview
ふさわしい服装,ふさわしいふくそう,appropriate clothing,面接にふさわしい服装,appropriate clothing for an interview
勤務時間,きんむじかん,working hours,八時間勤務,an eight hour day
時給,じきゅう,hourly wage,時給で働く,work for an hourly wage
交通費,こうつうひ,transportation expenses,交通費を支給される,be reimbursed for transportation expenses
支給する,しきゅうする,to reimburse,交通費を支給される,be reimbursed for transportation expenses
稼ぐ,かせぐ,to earn,お金を稼ぐ,earn money
儲ける,もうける,to earn a lot,お金を儲ける,earn a lot of money

二日目
上司,じょうし,boss,上司に怒られる,get scolded by the boss
部下,ぶか,subordinate,部下に仕事を任せる,leave the work to the subordinate
部長,ぶちょう,department manager,部長に昇進する,get promoted to department manager
課長,かちょう,section manager,課長に報告書を提出する,submit a report to the section manager
先輩,せんぱい,senior,先輩に仕事を教えてもらう,learn the work from a senior
後輩,こうはい,junior,後輩に仕事を教える,teach the work to a junior
同僚,どうりょう,colleague,同僚と仕事を分担する,share the work with a colleague
仕事仲間,しごとなかま,workmate,仕事仲間と飲みに行く,go drinking with a workmate
大企業,だいきぎょう,large company,大企業に就職する,get a job at a large company
入社する,にゅうしゃする,to join a company,四月に入社する,start working in April
新入社員,しんにゅうしゃいん,new employee,新入社員を指導する,train a new employee
我が社,わがしゃ,our company,我が社の女子社員,female staff members in our company
教わる,おそわる,to be taught,先輩に教わる,learn from the more experienced members of the staff
見習う,みならう,to learn,先輩を見習う,follow the example of the more experienced staff
早退する,そうたいする,to leave early,仕事を早退する,leave work early
遅刻する,ちこくする,to be late,仕事に遅刻する,be late for work
休憩する,きゅうけいする,to take a break,休憩時間を取る,take a break
休み,やすみ,holiday,休みを取る,take a holiday
有給休暇,ゆうきゅうきゅうか,paid vacation,有給休暇を取る,take paid vacation
休暇,きゅうか,vacation,休暇を取る,take a vacation
やりがい,やりがい,sense of fulfillment,やりがいのある仕事,a fulfilling job
生きがい,いきがい,reason for living,仕事が生きがいだ,I live for work
休む間,やすむま,break,休む間がない,never have time to rest
もたない,もたない,to not last,体がもたない,can't keep this pace up
やる気がない,やるきがない,to be unmotivated,やる気がない,have no interest in the job
やる気が出ない,やるきがでない,to not feel like doing,やる気が出ない,have no drive
具合,ぐあい,condition,具合が悪いふりをする,pretend to be sick
ふりをする,ふりをする,to pretend,具合が悪いふりをする,pretend to be sick
怠ける,なまける,to neglect,仕事を怠ける,neglect one's work
サボる,さぼる,to skip,仕事をサボる,skip work
怠け者,なまけもの,a lazy person,怠け者になる,become a lazy person
