一日目
ラッシュ,らっしゅ,rush,電車のラッシュ時は混雑しています,Trains are crowded during rush hours
マスコミ,ますこみ,mass media,マスコミがその事件を報じた,The mass media reported the incident
テロ,てろ,terrorism,テロに対する取り組み,Measures against terrorism
インフレ,いんふれ,inflation,インフレ率が上昇している,The inflation rate is rising
アポ,あぽ,appointment,アポを取る,Make an appointment
イラスト,いらすと,illustration,本にイラストがたくさん載っている,The book has many illustrations
アマ,あま,amateur,アマチュアプレイヤーが優勝した,An amateur player won
プロ,ぷろ,professional,プロの意識を持つ,Have a professional mindset
スト,すと,strike,ストが行われる予定です,A strike is scheduled to take place
レジ,れじ,cash register,レジでお金を支払う,Pay at the cash register
ゼミ,ぜみ,seminar,大学のゼミに参加する,Participate in the university seminar
ホーム,ほーむ,platform,電車のホームで待つ,Wait on the train platform
バーゲン,ばーげん,sale,バーゲンセールでお得な買い物をする,Shop for bargains during a sale
ファミレス,ふぁみれす,family restaurant,ファミレスで食事する,Have a meal at a family restaurant
エコ,えこ,eco,エコな生活を心掛ける,Strive for an eco-friendly lifestyle
アレルギー,あれるぎー,allergy,花粉アレルギーがある,Have pollen allergy
エネルギー,えねるぎー,energy,エネルギーを節約する,Conserve energy
ウイルス,ういるす,virus,ウイルス対策をする,Take measures against viruses
ワクチン,わくちん,vaccine,ワクチン接種が進んでいる,Vaccine inoculation is progressing
ビタミン,びたみん,vitamin,ビタミンを摂取する,Take in vitamins
テーマ,てーま,theme,プレゼンのテーマを決める,Determine the theme for the presentation
ビニール,びにーる,vinyl,ビニール袋を使わないでください,Please avoid using plastic bags
二日目
アイドル,あいどる,idol,彼女は人気のアイドル歌手です,She is a popular idol singer
タレント,たれんと,talent,彼は多才なタレントです,He is a versatile talent
クレーム,くれーむ,complaint,商品にクレームをつける,Make a complaint about the product
サービス,さーびす,service,優れたサービスを提供する,Provide excellent service
フロント,ふろんと,front desk,ホテルのフロントでチェックインする,Check in at the hotel front desk
シングル,しんぐる,single,彼女の最新シングルがリリースされた,Her latest single has been released
コース,こーす,course,ディナーコースを注文する,Order the dinner course
ビュッフェ,びゅっふぇ,buffet,ビュッフェスタイルのレストランで食事する,Have a meal at a buffet-style restaurant
ドライ,どらい,dry,ドライなユーモアが好きです,I like dry humor
ハンドル,はんどる,steering wheel,車のハンドルを握る,Hold the steering wheel of the car
タイヤ,たいや,tire,新しいタイヤを装着する,Install new tires
パンク,ぱんく,puncture,自転車がパンクした,Bicycle has a puncture
グラウンド,ぐらうんど,ground,子供たちはグラウンドで遊んでいます,Children are playing on the ground
コピー,こぴー,copy,文書のコピーを取る,Make a copy of the document
コーナー,こーなー,corner,書店の一角にコーナーが設けられている,A corner is set up in the bookstore
スタンド,すたんど,stand,野球場のスタンドで試合を観る,Watch the game from the baseball stadium stands
ビジネスマン,びじねすまん,businessman,彼は忙しいビジネスマンです,He is a busy businessman
コメント,こめんと,comment,彼のコメントは興味深い,His comments are interesting
オーバー,おーばー,over,彼の反応は少しオーバーだ,His reaction is a bit over the top
ハーフ,はーふ,half,彼女は日本とアメリカのハーフです,She is half Japanese and half American
ユニーク,ゆにーく,unique,彼のアートはユニークだ,His art is unique
ベテラン,べてらん,veteran,ベテラン俳優が主役を務める,The veteran actor plays the leading role
トレーナー,とれーなー,trainer,彼はフィットネストレーナーです,He is a fitness trainer
サイン,さいん,signature,有名人のサインをもらう,Get the autograph of a celebrity
三日目
コンパ,こんぱ,group date,友達とコンパに参加する,Join a group date with friends
合コン,ごうこん,group blind date,合コンで新しい人と出会う,Meet new people at a group blind date
ワンパターン,わんぱたーん,monotonous,毎日がワンパターンでつまらない,Every day is monotonous and boring
Uターン,ゆーたーん,U-turn,地元にUターンする,Return to one's hometown
オフ,おふ,off,休みの日はオフィスが閉まっています,The office is closed on days off
フリーダイヤル,ふりーだいやる,toll-free number,フリーダイヤルでお問い合わせください,Please contact us using the toll-free number
フリーサイズ,ふりーさいず,free size,この服はフリーサイズです,This clothing is free size
キャッチボール,きゃっちぼーる,catch ball,公園でキャッチボールをする,Play catch ball in the park
コインランドリー,こいんらんどりー,coin laundry,旅行中にコインランドリーを利用する,Use a coin laundry while traveling
リサイクルショップ,りさいくるしょっぷ,recycle shop,リサイクルショップで古本を買う,Buy second-hand books at a recycle shop
ジェットコースター,じぇっとこーすたー,jet coaster,テーマパークのジェットコースターに乗る,Ride the roller coaster at the amusement park
シルバーシート,しるばーしーと,silver seat,シルバーシートは高齢者向けの席です,Silver seats are reserved for elderly people
ホチキス,ほちきす,stapler,ホチキスで資料をとじる,Staple the documents with a stapler
